game_date,game_id,away_team,home_team,actual_winner,home_win,home_starter,away_starter,both_starters_known,starter_info_quality,home_starter_era_prior,away_starter_era_prior,starter_era_gap,home_starter_whip_prior,away_starter_whip_prior,starter_whip_gap,home_starter_recent3_era,away_starter_recent3_era,starter_recent3_era_gap,home_starter_recent3_ip,away_starter_recent3_ip,starter_recent3_ip_gap,home_starter_rest_days,away_starter_rest_days,starter_rest_days_gap,home_starter_recent_pitch_count,away_starter_recent_pitch_count,starter_recent_pitch_count_gap,home_bullpen_pitch_count_last1d,away_bullpen_pitch_count_last1d,bullpen_pitch_count_last1d_gap,home_bullpen_pitch_count_last3d,away_bullpen_pitch_count_last3d,bullpen_pitch_count_last3d_gap,home_bullpen_appearances_last3d,away_bullpen_appearances_last3d,bullpen_appearances_last3d_gap,home_previous_game_run_diff,away_previous_game_run_diff,previous_game_run_diff_gap,home_previous_game_bullpen_pitch_count,away_previous_game_bullpen_pitch_count,previous_game_bullpen_usage_gap,lineup_confirmed,lineup_feature_status,key_hitter_feature_status,excluded_leakage_columns,recent_10_win_rate_gap,season_win_rate_gap,season_avg_run_diff_gap,recent_5_runs_avg_gap,recent_5_allowed_avg_gap,recent_5_run_creation_gap,recent_10_run_creation_gap,recent_run_diff_10_gap,venue_win_rate_gap,games_last_7_days_gap,recent_3day_games_gap,rest_days_gap,bullpen_fatigue_score_gap,bullpen_fatigue_gap
2017-04-14,20170414SSLT0,삼성,롯데,롯데,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,1.0,4.0,-3.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.5,-0.2727,-3.3636,3.2,-0.6,2.2,3.9,3.9,-0.6,0,0,0.0,0.0,0.0
2017-04-15,20170415WOHT0,넥센,KIA,KIA,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,1.0,1.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.2,-0.0833,-0.6667,-3.2,-2.0,1.0,-1.9,-1.9,-0.1667,0,0,0.0,0.0,0.0
2017-04-15,20170415KTLG0,KT,LG,KT,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,3.0,3.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.1,-0.0833,0.3333,-1.4,1.4,-3.6,1.1,1.1,0.8095,0,0,0.0,0.0,0.0
2017-04-15,20170415OBNC0,두산,NC,두산,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,4.0,4.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.1,0.1667,1.3333,-2.4,2.6,-2.4,-0.7,-0.7,-0.5714,0,0,0.0,0.0,0.0
2017-04-15,20170415SKHH0,SK,한화,SK,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,4.0,4.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.1,-0.3333,0.5,-2.0,-0.2,-0.6,-0.1,-0.1,-1.3333,0,0,0.0,0.0,0.0
2017-04-15,20170415SSLT0,삼성,롯데,롯데,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,3.0,3.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.5,-0.25,-2.5,2.2,1.0,0.8,4.0,4.0,-0.5,0,0,0.0,0.0,0.0
2017-04-16,20170416WOHT0,넥센,KIA,KIA,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,3.0,3.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.3,-0.1538,-1.9231,-0.6,-1.4,0.8,-0.7,-0.7,-0.2857,0,0,0.0,0.0,0.0
2017-04-16,20170416KTLG0,KT,LG,LG,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,1.0,1.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.2,-0.1538,-0.3077,-1.2,2.6,-3.8,0.9,0.9,0.375,0,0,0.0,0.0,0.0
2017-04-16,20170416OBNC0,두산,NC,NC,1,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,9.0,9.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,0.1,0.2308,1.8462,-4.8,-0.2,-0.8,-1.6,-1.6,-0.25,0,0,0.0,0.0,0.0
2017-04-16,20170416SKHH0,SK,한화,SK,0,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0,8.0,8.0,0.0,,,,False,snapshot_only_not_training,not_available_without_historical_injury_or_lineup_logs,actual_winner;home_win;actual_run_margin;actual_close_game;actual_blowout_game;lineup_snapshot_only;pitching_daily_snapshot_latest,-0.2,-0.3077,0.3846,-2.4,-2.2,0.0,-2.3,-2.3,-1.0,0,0,0.0,0.0,0.0
