prediction_date,game_date,game_id,away_team,home_team,predicted_winner,predicted_probability,predicted_edge_label,recommendation_strength,recommendation_grade,win_pick_recommendation,handicap_recommendation,over_under_recommendation,daily_rank,daily_edge_percentile,is_daily_top_pick,is_daily_top_tier,actual_winner,actual_away_score,actual_home_score,win_pick_result,confidence_bucket,market_policy_result,production_model_name,note
2026-06-04,2026-06-04,20260604WOSK0,키움,SSG,키움,0.505,키움 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,7,0.4,False,False,SSG,6,7,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-05,2026-06-05,20260605SSHT0,삼성,KIA,KIA,0.507,KIA 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,7,0.4,False,False,KIA,2,5,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-05,2026-06-05,20260605WOOB0,키움,두산,두산,0.55,두산 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,두산,3,4,correct,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-05,2026-06-05,20260605KTSK0,KT,SSG,KT,0.536,KT 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,SSG,5,6,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-05,2026-06-05,20260605HHLT0,한화,롯데,한화,0.52,한화 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,한화,9,2,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-05,2026-06-05,20260605LGNC0,LG,NC,LG,0.507,LG 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,8,0.4,False,False,LG,5,4,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-06,2026-06-06,20260606KTSK0,KT,SSG,KT,0.528,KT 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,7,0.4,False,False,KT,7,3,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-06,2026-06-06,20260606SSHT0,삼성,KIA,KIA,0.531,KIA 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,삼성,3,2,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-06,2026-06-06,20260606WOOB0,키움,두산,두산,0.546,두산 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,두산,1,9,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-06,2026-06-06,20260606HHLT0,한화,롯데,한화,0.54,한화 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,한화,7,2,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-06,2026-06-06,20260606LGNC0,LG,NC,LG,0.508,LG 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,10,0.1,False,False,NC,5,8,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-07,2026-06-07,20260607WOOB0,키움,두산,두산,0.541,두산 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,키움,4,1,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-07,2026-06-07,20260607SSHT0,삼성,KIA,KIA,0.505,KIA 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,KIA,6,7,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-07,2026-06-07,20260607HHLT0,한화,롯데,한화,0.542,한화 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,한화,9,8,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-07,2026-06-07,20260607KTSK0,KT,SSG,KT,0.534,KT 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,SSG,0,7,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-07,2026-06-07,20260607LGNC0,LG,NC,LG,0.523,LG 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,7,0.4,False,False,NC,6,7,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-09,2026-06-09,20260609NCWO0,NC,키움,NC,0.554,NC 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,키움,6,7,incorrect,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-09,2026-06-09,20260609SKLG0,SSG,LG,LG,0.547,LG 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,LG,2,8,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-09,2026-06-09,20260609OBLT0,두산,롯데,두산,0.543,두산 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,두산,6,5,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-09,2026-06-09,20260609SSKT0,삼성,KT,삼성,0.512,삼성 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,7,0.4,False,False,KT,2,5,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-09,2026-06-09,20260609HTHH0,KIA,한화,KIA,0.505,KIA 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,KIA,6,4,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-10,2026-06-10,20260610NCWO0,NC,키움,NC,0.544,NC 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,NC,4,2,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-10,2026-06-10,20260610SSKT0,삼성,KT,KT,0.512,KT 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,KT,3,4,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-10,2026-06-10,20260610SKLG0,SSG,LG,LG,0.542,LG 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,LG,6,8,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-10,2026-06-10,20260610OBLT0,두산,롯데,두산,0.538,두산 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,롯데,1,3,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-10,2026-06-10,20260610HTHH0,KIA,한화,KIA,0.523,KIA 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,7,0.4,False,False,한화,3,4,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-11,2026-06-11,20260611NCWO0,NC,키움,NC,0.539,NC 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,NC,3,2,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-11,2026-06-11,20260611SKLG0,SSG,LG,LG,0.538,LG 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,LG,1,15,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-11,2026-06-11,20260611OBLT0,두산,롯데,두산,0.531,두산 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,두산,12,7,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-11,2026-06-11,20260611SSKT0,삼성,KT,KT,0.52,KT 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,7,0.4,False,False,삼성,8,1,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-11,2026-06-11,20260611HTHH0,KIA,한화,KIA,0.502,KIA 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,한화,1,5,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-12,2026-06-12,20260612SKSS0,SSG,삼성,삼성,0.556,삼성 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,SSG,5,3,incorrect,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-12,2026-06-12,20260612LTLG0,롯데,LG,LG,0.553,LG 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,롯데,16,5,incorrect,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-12,2026-06-12,20260612HHWO0,한화,키움,한화,0.551,한화 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,키움,3,4,incorrect,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-12,2026-06-12,20260612NCKT0,NC,KT,KT,0.525,KT 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,7,0.4,False,False,KT,2,3,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-12,2026-06-12,20260612OBHT0,두산,KIA,KIA,0.52,KIA 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,9,0.2,False,False,두산,4,2,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-13,2026-06-13,20260613LTLG0,롯데,LG,LG,0.573,LG 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,LG,3,5,correct,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-13,2026-06-13,20260613SKSS0,SSG,삼성,삼성,0.571,삼성 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,삼성,6,7,correct,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-13,2026-06-13,20260613HHWO0,한화,키움,한화,0.556,한화 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,키움,1,3,incorrect,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-13,2026-06-13,20260613NCKT0,NC,KT,KT,0.529,KT 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,7,0.4,False,False,KT,9,11,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-13,2026-06-13,20260613OBHT0,두산,KIA,두산,0.517,두산 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,KIA,1,2,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-14,2026-06-14,20260614HHWO0,한화,키움,한화,0.541,한화 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,키움,2,3,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
2026-06-14,2026-06-14,20260614LTLG0,롯데,LG,LG,0.546,LG 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,LG,1,6,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,핵심 수치 RandomForest 보수 모델,Post-game audit only. Results are not used as pre-game features.
