date,game_id,team,opponent,is_home,month,series_game_no,rest_days,recent_5_win_rate,avg_score_last_5,avg_allowed_last_5,avg_run_diff_last_5,target_win
2026-04-24,20260424KTSK0_SSG,SSG,KT,1,4,1,1.0,0.8,5.8,4.0,1.8,1
2026-04-24,20260424LGOB0_두산,두산,LG,1,4,1,1.0,0.8,5.4,3.2,2.2,0
2026-04-24,20260424LTHT0_롯데,롯데,KIA,0,4,1,1.0,0.2,2.0,6.0,-4.0,0
2026-04-24,20260424SSWO0_삼성,삼성,키움,0,4,1,1.0,0.2,3.0,4.6,-1.6,0
2026-04-24,20260424SSWO0_키움,키움,삼성,1,4,1,1.0,0.6,2.4,3.6,-1.2,1
2026-04-24,20260424NCHH0_한화,한화,NC,1,4,1,1.0,0.6,5.4,2.8,2.6,0
2026-04-25,20260425LTHT0_KIA,KIA,롯데,1,4,2,1.0,0.2,3.6,5.6,-2.0,1
2026-04-25,20260425KTSK0_KT,KT,SSG,0,4,2,1.0,0.6,4.6,3.8,0.8,0
2026-04-25,20260425LGOB0_LG,LG,두산,0,4,2,1.0,0.8,4.4,2.8,1.6,1
2026-04-25,20260425NCHH0_NC,NC,한화,0,4,2,1.0,0.6,5.8,2.4,3.4,0
2026-04-25,20260425KTSK0_SSG,SSG,KT,1,4,2,1.0,0.8,4.6,3.4,1.2,1
2026-04-25,20260425LGOB0_두산,두산,LG,1,4,2,1.0,0.6,4.6,3.2,1.4,0
2026-04-25,20260425LTHT0_롯데,롯데,KIA,0,4,2,1.0,0.2,2.0,5.8,-3.8,0
2026-04-25,20260425SSWO0_삼성,삼성,키움,0,4,2,1.0,0.0,2.4,5.4,-3.0,0
2026-04-25,20260425SSWO0_키움,키움,삼성,1,4,2,1.0,0.8,3.2,3.6,-0.4,1
2026-04-25,20260425NCHH0_한화,한화,NC,1,4,2,1.0,0.4,5.0,4.2,0.8,1
2026-04-26,20260426KTSK0_KT,KT,SSG,0,4,3,1.0,0.6,4.6,3.8,0.8,1
2026-04-26,20260426LGOB0_LG,LG,두산,0,4,3,1.0,0.8,4.8,3.8,1.0,0
2026-04-26,20260426NCHH0_NC,NC,한화,0,4,3,1.0,0.4,4.2,3.6,0.6,1
2026-04-26,20260426KTSK0_SSG,SSG,KT,1,4,3,1.0,1.0,4.8,1.8,3.0,0
2026-04-26,20260426LGOB0_두산,두산,LG,1,4,3,1.0,0.4,4.4,4.0,0.4,1
2026-04-26,20260426SSWO0_삼성,삼성,키움,0,4,3,1.0,0.0,2.8,5.2,-2.4,0
2026-04-26,20260426SSWO0_키움,키움,삼성,1,4,3,1.0,0.8,3.4,3.8,-0.4,1
2026-04-26,20260426NCHH0_한화,한화,NC,1,4,3,1.0,0.4,4.8,4.2,0.6,0
2026-04-28,20260428HTNC0_KIA,KIA,NC,0,4,1,3.0,0.4,3.8,5.0,-1.2,0
2026-04-28,20260428LGKT0_KT,KT,LG,1,4,1,2.0,0.6,5.8,3.2,2.6,1
