prediction_date,train_games_before_date,test_games_on_date,model,feature_set,accuracy,brier,log_loss,over_55_games,over_55_accuracy,predicted_games,correct_games,interpretation
2026-06-05,7295,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.226,0.646,6,1.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-06,7300,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.23,0.652,6,0.667,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-06,7300,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.237,0.667,6,0.667,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-07,7305,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.2,0.279,0.751,6,0.333,10,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-07,7305,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.4,0.27,0.734,4,0.5,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-09,7310,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.4,0.252,0.696,4,0.5,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-09,7310,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.4,0.248,0.69,2,1.0,10,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-10,7315,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.6,0.25,0.693,2,0.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-10,7315,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.6,0.249,0.691,2,0.0,10,6,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-11,7320,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.215,0.623,4,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-11,7320,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.224,0.641,2,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-12,7325,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.2,0.286,0.765,4,0.0,10,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-12,7325,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.2,0.282,0.757,4,0.0,10,2,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-13,7330,5,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.8,0.223,0.64,6,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-13,7330,5,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.8,0.225,0.643,6,1.0,10,8,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-14,7335,4,HistGradientBoosting_current_season_rolling,current_operational_feature_set,0.5,0.231,0.656,4,1.0,8,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
2026-06-14,7335,4,HistGradientBoosting_current_season_rolling,best_non_pitching_candidate,0.5,0.235,0.663,4,1.0,8,4,예측일 이전 완료 경기만 학습한 2026 rolling backtest
